id,secondary_profession,try_these,avoid_these,text
A4-Art Director,Art Director,False,True,That concept’s lame—redo it!
A5-Art Director,Art Director,False,True,You’re too artsy—tone it down!
T1-Web Designer,Web Designer,True,False,Slickest site layout you’ve brewed?
T2-Web Designer,Web Designer,True,False,Ever mocked up a page over cold brew?
T3-Web Designer,Web Designer,True,False,Figma or Sketch—which tool’s your decor?
T4-Web Designer,Web Designer,True,False,What’s your wildest design win?
T5-Web Designer,Web Designer,True,False,Best web vibe—spill the digital tea!
A1-Web Designer,Web Designer,False,True,Why’s your site so cluttered?
A2-Web Designer,Web Designer,False,True,"You just use templates, right?"
A3-Web Designer,Web Designer,False,True,That design’s outdated—ugh!
A4-Web Designer,Web Designer,False,True,Web design’s too easy—true?
A5-Web Designer,Web Designer,False,True,Your colors clash—fix it!
T1-Game Designer,Game Designer,True,False,Craziest game mechanic you’ve brewed up?
T2-Game Designer,Game Designer,True,False,Ever built a level over a latte?
T3-Game Designer,Game Designer,True,False,Unity or Unreal—which play’s your vibe?
T4-Game Designer,Game Designer,True,False,What’s your smoothest gameplay win?
T5-Game Designer,Game Designer,True,False,Best game hack—spill the playmaker tea!
A1-Game Designer,Game Designer,False,True,Why’s your game so buggy?
A2-Game Designer,Game Designer,False,True,Games are for kids—agree?
A3-Game Designer,Game Designer,False,True,That level’s awful—scrap it!
A4-Game Designer,Game Designer,False,True,"You just copy other games, huh?"
A5-Game Designer,Game Designer,False,True,Game design’s a fad—right?
