id,secondary_profession,try_these,avoid_these,text
T4-Social Media Content Creator,Social Media Content Creator,True,False,What’s your quirkiest viral win?
T5-Social Media Content Creator,Social Media Content Creator,True,False,Best hashtag hack—spill the tea!
A1-Social Media Content Creator,Social Media Content Creator,False,True,Your posts are so cringe—stop it!
A2-Social Media Content Creator,Social Media Content Creator,False,True,Social media’s a waste—true?
A3-Social Media Content Creator,Social Media Content Creator,False,True,Why’d that reel flop?
A4-Social Media Content Creator,Social Media Content Creator,False,True,"You just chase likes, huh?"
A5-Social Media Content Creator,Social Media Content Creator,False,True,That caption’s lame—fix it!
T1-SEO Specialist,SEO Specialist,True,False,Craziest rank you’ve brewed up over coffee?
T2-SEO Specialist,SEO Specialist,True,False,Ever topped Google mid-latte?
T3-SEO Specialist,SEO Specialist,True,False,Ahrefs or SEMrush—which sage’s your brew?
T4-SEO Specialist,SEO Specialist,True,False,What’s your slickest keyword win?
T5-SEO Specialist,SEO Specialist,True,False,Best SEO trick—spill the search tea!
A1-SEO Specialist,SEO Specialist,False,True,Your SEO’s why we sank—admit it!
A2-SEO Specialist,SEO Specialist,False,True,"SEO’s just gaming Google, huh?"
A3-SEO Specialist,SEO Specialist,False,True,Why’s that rank so low?
A4-SEO Specialist,SEO Specialist,False,True,You can’t boost traffic—right?
A5-SEO Specialist,SEO Specialist,False,True,Search is dead—agree?
T1-Author,Author,True,False,Wildest chapter you’ve brewed over a doppio?
T2-Author,Author,True,False,Ever penned an epic mid-cold brew?
T3-Author,Author,True,False,Scrivener or pen—which tale’s your titan?
T4-Author,Author,True,False,What’s your smoothest plot twist win?
T5-Author,Author,True,False,Best book idea—spill the epic tea!
A1-Author,Author,False,True,Your book’s so dull—scrap it!
A2-Author,Author,False,True,Why’s that chapter so long?
A3-Author,Author,False,True,Writing novels is pointless—huh?
A4-Author,Author,False,True,That ending sucked—fix it!
A5-Author,Author,False,True,You’ll never sell—true?
